# set_id,truong-vocab-set-14
# title,Truong Vocabulary Set 14
# description,Truong vocabulary practice words from set 14.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Adventure,Reading & Writing,An exciting or unusual experience,journey expedition,1,medium,The adventure took the hikers up a mountain.
Cheerful,Communication & Discussion,Happy and positive in mood,happy joyful,1,medium,A cheerful greeting can brighten the morning.
Curious,Learning & Research,Wanting to know or learn more,inquisitive interested,K,medium,The curious child looked under the leaf to see what was hiding there.
Depend,Thinking & Reasoning,To rely on someone or something,rely count on,2,medium,Plants depend on water and sunlight.
Enormous,Mathematics,Very large in size or amount,huge giant,1,medium,The enormous pumpkin filled the wagon.
Examine,Learning & Research,To look at something carefully and closely,inspect study,2,medium,We examine the rock with a magnifying glass.
Fragile,Scientific Thinking,Easy to break or damage,delicate brittle,2,medium,The fragile glass ornament needs careful hands.
Journey,Reading & Writing,Travel from one place to another,trip voyage,2,medium,Their journey across the state took two days.
Nervous,Communication & Discussion,Feeling worried or uneasy about something,anxious worried,K,easy,I felt nervous before the spelling bee.
Patient,Progress & Learning,Able to wait calmly without getting upset,calm tolerant,K,easy,Maya was patient while she waited for her turn.
Protect,Scientific Thinking,To keep someone or something safe from harm,guard defend,K,easy,Sunscreen can help protect your skin from the sun.
Rescue,Progress & Learning,To save someone or something from danger,save help,1,medium,The lifeguard helped rescue the tired swimmer.
Valuable,Thinking & Reasoning,Worth a lot or very useful and important,precious important,2,medium,Clean water is a valuable resource.
Whisper,Communication & Discussion,To speak very softly using little breath,murmur hush,K,easy,Please whisper while the baby sleeps.
