# set_id,truong-vocab-set-21
# title,Truong Vocabulary Set 21
# description,Truong vocabulary practice words from set 21.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Prepare,Instructional Language,To get ready before doing something,get ready plan,K,easy,We prepare our backpacks before school.
Directions,Instructional Language,Words that tell you what to do,instructions steps,K,medium,The directions tell us where to draw.
Instructions,Instructional Language,Steps that tell you how to do something,directions steps,K,medium,Read the instructions before using the glue.
Complete,Instructional Language,To finish all parts of a task,finish done,K,easy,I complete the puzzle before snack time.
Check,Instructional Language,To look again to make sure something is right,review inspect,K,easy,Check your name before you turn in the paper.
Correct,Instructional Language,To fix something that is wrong,fix repair,K,easy,I correct the backwards letter.
Select,Instructional Language,To choose one from a group,choose pick,1,medium,Select one crayon from the box.
Arrange,Instructional Language,To put things in a certain order,organize order,1,medium,Arrange the cards from smallest to biggest.
Locate,Instructional Language,To find where something is,find place,1,medium,Can you locate the red square on the map?
Observe,Learning & Research,To watch or examine carefully and notice details,notice watch,K,easy,We observe the caterpillar and notice how it moves.
