# set_id,truong-vocab-set-12
# title,Truong Vocabulary Set 12
# description,Truong vocabulary practice words from set 12.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Accomplish,Progress & Learning,To successfully finish or achieve something,achieve complete,2,medium,Nina worked hard to accomplish her goal of reading ten books.
Ancient,Scientific Thinking,Very old and from a long time ago,old historic,2,medium,Ancient tools can teach us about early people.
Communicate,Communication & Discussion,To share information ideas or feelings,express convey,2,medium,We communicate with words pictures and gestures.
Data,Learning & Research,"Facts, measurements, or observations collected to learn or make decisions",information facts,2,medium,The data showed that the plant grew two centimeters this week.
Develop,Progress & Learning,"To grow, change, or improve over time",grow improve,2,medium,The young plant will develop stronger roots as it grows.
Estimate,Mathematics,"A close, reasonable guess based on what you know",approximate predict,1,medium,"My estimate was 40 beans, and the jar actually held 43."
Growth,Progress & Learning,"The process of becoming larger, stronger, or more developed",development progress,2,medium,We measured the plant’s growth each week.
Into,Directional Language,Moving from outside to inside,inside enter,K,easy,The kitten climbed into the box.
Justify,Thinking & Reasoning,To explain why an answer or choice makes sense using reasons or evidence,defend support,3,hard,I justify my answer with a reason from the text.
Review,Progress & Learning,To look at something again to remember it or check it,revisit examine,1,medium,We review yesterday’s lesson before starting a new one.
Underline,Instructional Language,To draw a line beneath something,mark highlight,1,easy,Underline the title at the top of the page.
