# set_id,truong-vocab-set-16
# title,Truong Vocabulary Set 16
# description,Truong vocabulary practice words from set 16.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Balance,Scientific Thinking,A state where things are equal or stable,equilibrium harmony,2,medium,The gymnast kept her balance on the beam.
Climate,Scientific Thinking,The usual pattern of weather in a place over many years,weather atmosphere,3,hard,A desert climate is usually very dry.
Conservation,Scientific Thinking,The protection and careful use of natural resources,preservation protection,4,hard,Water conservation includes turning off the faucet when it is not needed.
Drought,Scientific Thinking,A long period with little or no rain,dry spell shortage,3,hard,The drought made the field very dry.
Ecosystem,Scientific Thinking,All the living and nonliving parts of an area and the ways they interact,habitat environment,3,hard,"A pond ecosystem includes water, plants, fish, insects, and sunlight."
Erosion,Scientific Thinking,"The wearing away and movement of soil or rock by water, wind, ice, or gravity",wearing away weathering,3,hard,Heavy rain can cause erosion on a bare hillside.
Habitat,Scientific Thinking,The natural home of a plant or animal,environment home,2,medium,A pond is a habitat for frogs.
Migrate,Scientific Thinking,"To move from one region to another, often at certain times of year",travel relocate,3,hard,Many geese migrate south before winter.
Pollution,Scientific Thinking,"Harmful materials or conditions that make air, water, or land dirty or unsafe",contamination waste,2,medium,Pollution can make a river unsafe for fish.
Predator,Scientific Thinking,An animal that hunts other animals for food,hunter carnivore,2,medium,A hawk is a predator that hunts mice.
Prey,Scientific Thinking,An animal that is hunted by another for food,target victim,2,medium,A mouse can be prey for an owl.
Renewable,Scientific Thinking,Able to be naturally replaced in a relatively short time,sustainable replenishable,4,hard,Sunlight is a renewable source of energy.
Resource,Scientific Thinking,Something useful that can be used to meet a need,supply material,2,medium,A library book is a helpful resource for research.
Shelter,Scientific Thinking,A place that protects from weather or danger,cover refuge,1,medium,The cave gave the hikers shelter from rain.
Survival,Scientific Thinking,"Continuing to live, especially when conditions are difficult",endurance persistence,3,hard,Finding water is important for survival in a desert.
Vegetation,Scientific Thinking,Plants that grow in a particular area,plants greenery,4,hard,Thick vegetation grew beside the trail.
