# set_id,truong-vocab-set-25
# title,Truong Vocabulary Set 25
# description,Truong vocabulary practice words from set 25.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Reason,Thinking & Reasoning,An explanation for why something happened or why you think or do something,cause explanation,1,easy,My reason for wearing boots is that it is raining.
Result,Thinking & Reasoning,"What happens because of an action, event, or process",outcome effect,1,easy,The result of watering the seed was a new sprout.
Cause,Thinking & Reasoning,Something that makes another thing happen,reason source,1,easy,The cause of the noise was a barking dog.
Effect,Thinking & Reasoning,Something that happens because of a cause,result outcome,1,easy,One effect of the rain was a puddle on the sidewalk.
Similar,Thinking & Reasoning,Alike in some ways but not exactly the same,alike same,K,easy,The two shells are similar because both are round and striped.
Different,Thinking & Reasoning,Not the same,unlike separate,K,medium,The two buttons are different colors.
Pattern,Thinking & Reasoning,Something that repeats or follows a rule,repeat sequence,K,easy,"The beads make a red, blue, red, blue pattern."
Mistake,Progress & Learning,"Something done, understood, or answered incorrectly",error wrong,K,easy,"I made a mistake, fixed it, and tried the problem again."
Careless,Progress & Learning,Not careful enough,rushed sloppy,1,medium,A careless spill can make the floor slippery.
Strategy,Thinking & Reasoning,A plan or method for reaching a goal or solving a problem,plan method,1,medium,My strategy is to count by tens first.
