# set_id,truong-vocab-set-29
# title,Truong Vocabulary Set 29
# description,Truong vocabulary practice words from set 29.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Describe,Learning & Research,To tell what something is like using details,explain tell,1,medium,"Describe the puppy by telling its color, size, and behavior."
Explain,Learning & Research,To make an idea easier to understand,clarify tell,K,easy,Nora used a picture to explain how she solved the problem.
Identify,Learning & Research,To recognize and name something,recognize name,1,medium,Identify the animal shown in the picture.
Classify,Instructional Language,To put things into groups based on features they share,categorize sort,2,medium,Classify the buttons by shape.
Estimate,Mathematics,"To make a close, reasonable guess based on what you know",approximate guess,1,medium,Estimate how many beans are in the jar before counting them.
Measure,Mathematics,"To find the size, amount, or quantity of something using a tool or unit",size check,1,easy,Measure the ribbon with a ruler.
Organize,Instructional Language,To arrange things in a useful order,arrange sort,1,easy,Tia will organize her cards by subject.
Record,Instructional Language,To write down or save information,document note,1,easy,Record the temperature on the chart.
Summarize,Communication & Discussion,To tell the most important ideas in a shorter way,recap shorten,2,medium,Lina will summarize the chapter in two sentences.
Support,Communication & Discussion,To give reasons or evidence that strengthen an idea,help back up,2,medium,Use one fact from the article to support your answer.
