# set_id,truong-vocab-set-06
# title,Truong Vocabulary Set 6
# description,Truong vocabulary practice words from set 6.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Adjective,Reading & Writing,A word that describes a noun,descriptor modifier,2,medium,An adjective can make a sentence more vivid.
Adverb,Reading & Writing,A word that describes a verb adjective or another adverb,modifier descriptor,3,hard,An adverb tells how quickly the rabbit hopped.
Agree,Communication & Discussion,To share the same opinion,accept concur,K,easy,I agree that the blue design works best.
Compare,Learning & Research,To look at two or more things to see how they are alike and different,match relate,K,easy,"We compare the two leaves by looking at their shape, size, and color."
Contrast,Learning & Research,To look for ways things are different,differentiate distinguish,2,medium,The chart helps us contrast winter and summer.
Different,Thinking & Reasoning,Not the same,unlike distinct,K,medium,The two buttons are different colors.
Disagree,Communication & Discussion,To have a different opinion,oppose differ,1,medium,I disagree because I found a different clue.
Noun,Reading & Writing,"A word that names a person, place, thing, or idea",name word,1,medium,"In the sentence “The dog runs,” dog is a noun."
Pronoun,Reading & Writing,A word that takes the place of a noun,replacement word,2,medium,She used a pronoun instead of repeating the name.
Similar,Thinking & Reasoning,Alike in some ways but not exactly the same,alike comparable,K,easy,The two shells are similar because both are round and striped.
Verb,Reading & Writing,A word that shows an action or a state of being,action word,1,medium,"In the sentence “The dog runs,” runs is a verb."
