# set_id,truong-vocab-set-19
# title,Truong Vocabulary Set 19
# description,Truong vocabulary practice words from set 19.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Notice,Learning & Research,To see or hear something carefully,observe spot,K,easy,I notice the bird singing in the tree.
Wonder,Learning & Research,To think about a question or mystery,question think,K,easy,I wonder where the squirrel hides food.
Explore,Learning & Research,"To look around, investigate, or learn about something new",discover investigate,K,medium,We explore the garden to find insects and plants.
Try,Progress & Learning,To make an effort to do something,attempt effort,K,easy,I will try to zip my coat by myself.
Practice,Progress & Learning,To do something again and again to get better at it,rehearse repeat,K,easy,Ava will practice reading the poem aloud each day.
Focus,Progress & Learning,To pay attention to one thing,concentrate attend,K,easy,Focus on the page while you read.
Attempt,Progress & Learning,To try to do something,try effort,1,medium,I will attempt the puzzle one more time.
Effort,Progress & Learning,The work or energy you put into doing something,work trying,1,medium,Your effort shows when you keep trying.
Improve,Progress & Learning,To get better or make something better,get better grow,K,easy,My reading will improve when I practice every day.
Challenge,Progress & Learning,Something difficult that takes effort to do or solve,difficult task,K,medium,Building the tall tower was a fun challenge.
