# set_id,truong-vocab-set-28
# title,Truong Vocabulary Set 28
# description,Truong vocabulary practice words from set 28.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Neighbor,Communication & Discussion,A person who lives near you,nearby person,K,easy,Our neighbor waves from the porch.
Community,Communication & Discussion,"A group of people who live, learn, work, or share something together",group neighborhood,1,medium,Our school community worked together to clean the playground.
Team,Communication & Discussion,A group working together,group partners,K,easy,Our team scored a goal together.
Partner,Communication & Discussion,A person you work with,teammate helper,K,easy,My partner helped me carry the blocks.
Audience,Communication & Discussion,The people who listen or watch,listeners viewers,1,medium,The audience clapped after the song.
Leader,Communication & Discussion,A person who guides a group,guide captain,K,easy,The leader showed the group where to stand.
Member,Communication & Discussion,A person who belongs to a group,part participant,K,easy,Each member of the club has a job.
Participate,Communication & Discussion,To take part in an activity,join take part,1,medium,I participate by joining the class discussion.
Compromise,Communication & Discussion,An agreement in which each person gives up part of what they want so everyone can agree,agreement meet halfway,2,medium,The friends made a compromise and played each game for ten minutes.
Refuse,Communication & Discussion,To say no to something,decline say no,1,medium,I refuse candy from someone I do not know.
