# set_id,truong-vocab-set-01
# title,Truong Vocabulary Set 1
# description,Truong vocabulary practice words from set 1.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Calculate,Mathematics,To determine an answer using math,compute solve,3,hard,Maya used a number line to calculate the answer.
Decision,Thinking & Reasoning,A choice made after thinking,choice judgment,1,medium,Sam made a decision after hearing both ideas.
Demonstrate,Instructional Language,To show how something works,show illustrate,2,medium,The coach asked Leo to demonstrate the stretch.
Equation,Mathematics,A math statement showing two sides are equal,expression formula,2,medium,This equation shows that both sides have the same value.
Gather,Instructional Language,To bring things together,collect assemble,K,easy,The students gather leaves for the science table.
Goal,Progress & Learning,Something you are trying to achieve,target objective,1,medium,Finishing one chapter each night was Lena's goal.
Infer,Learning & Research,To figure something out using clues and what you already know,deduce conclude,2,medium,We infer that it rained because the sidewalk is wet.
Learn,Progress & Learning,To gain knowledge or skills,study understand,K,easy,Kai likes to learn a new fact every morning.
Return,Instructional Language,To go back to a place or task,go back resume,K,easy,Please return the book to the shelf after reading.
Separate,Instructional Language,To move things apart,divide split,1,easy,The bins help us separate paper from plastic.
Species,Scientific Thinking,A group of living things that are alike and can have young together,kind classification,3,hard,The American robin is one species of bird.
