# set_id,truong-vocab-set-18
# title,Truong Vocabulary Set 18
# description,Truong vocabulary practice words from set 18.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Frustrated,Feelings & Emotions,Feeling upset because something is hard or not working,annoyed stuck,K,medium,I felt frustrated when the blocks kept falling.
Disappointed,Feelings & Emotions,Feeling sad because something did not happen the way you hoped,let down sad,K,medium,Mara was disappointed when the game was canceled.
Worried,Feelings & Emotions,Feeling nervous because something might go wrong,nervous concerned,K,medium,Dad felt worried during the storm.
Proud,Feelings & Emotions,Feeling good because you did something well,pleased accomplished,K,medium,I felt proud after tying my shoes.
Patient,Feelings & Emotions,Able to wait calmly without getting upset,calm waiting,K,easy,Maya was patient while she waited for her turn.
Curious,Feelings & Emotions,Wanting to know or learn more,interested wondering,K,medium,The curious child looked under the leaf to see what was hiding there.
Gentle,Feelings & Emotions,Using soft and careful actions,soft careful,K,easy,Use gentle hands with the tiny kitten.
Careful,Feelings & Emotions,Doing something with attention so you do not make a mistake or hurt something,cautious thoughtful,K,easy,Be careful when you carry the water cup.
Calm,Feelings & Emotions,Feeling peaceful and not upset,peaceful relaxed,K,easy,A calm voice can help a friend feel better.
Brave,Feelings & Emotions,Trying even when something feels scary,courageous bold,K,medium,The brave child tried the tall slide.
