# set_id,truong-vocab-set-03
# title,Truong Vocabulary Set 3
# description,Truong vocabulary practice words from set 3.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Achievement,Progress & Learning,Something accomplished successfully,success accomplishment,2,medium,Learning to ride a bike was a big achievement.
Analyze,Learning & Research,To look closely at parts or details so you can understand something better,examine investigate,3,hard,We analyze the pattern to figure out what comes next.
Artifact,Scientific Thinking,An object made or used by humans in the past,relic object,3,hard,The clay pot is an artifact from long ago.
Between,Directional Language,In the middle of two things,middle among,K,easy,The pencil is between the notebook and the ruler.
Classify,Instructional Language,To put things into groups based on features they share,categorize sort,2,medium,Classify the buttons by shape.
Connection,Thinking & Reasoning,A link or association between things,relationship link,2,medium,There is a connection between exercise and strong muscles.
Organism,Scientific Thinking,A living thing,living thing creature,3,hard,A mushroom is an organism that grows in damp places.
Organize,Instructional Language,To arrange things in a useful order,arrange sort,1,easy,Tia will organize her cards by subject.
Perspective,Thinking & Reasoning,A way of seeing or thinking about something,viewpoint outlook,4,hard,"From Maya’s perspective, the tall fence looked scary."
Topic,Reading & Writing,The subject being discussed or written about,subject theme,1,medium,The topic of our story is friendship.
Understand,Progress & Learning,To know the meaning of something,comprehend grasp,K,medium,I understand the rule after seeing an example.
Variable,Mathematics,A symbol that can represent different values,unknown placeholder,5,hard,In math x can be a variable.
