# set_id,truong-vocab-set-27
# title,Truong Vocabulary Set 27
# description,Truong vocabulary practice words from set 27.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Healthy,Scientific Thinking,Strong and well in your body or mind,well strong,K,easy,Healthy foods help your body grow.
Unhealthy,Scientific Thinking,Not good for your body or mind,harmful not well,K,medium,Too much candy can be unhealthy for teeth.
Painful,Feelings & Emotions,Causing hurt in your body or feelings,hurting sore,K,easy,A scraped knee can feel painful.
Protect,Scientific Thinking,To keep someone or something safe from harm,guard defend,K,easy,Sunscreen can help protect your skin from the sun.
Emergency,Instructional Language,A dangerous or serious situation that needs help right away,urgent danger,K,medium,A fire drill helps us practice what to do in an emergency.
Investigate,Learning & Research,"To look closely, gather information, and try to find an answer",explore examine,2,medium,We investigate the tracks to learn which animal made them.
Evidence,Learning & Research,"Facts, observations, or clues that support an idea or help show what is true",clue proof,2,medium,The muddy paw prints were evidence that an animal crossed the porch.
Review,Progress & Learning,To look at something again to remember it or check it,look again practice,1,medium,We review yesterday’s lesson before starting a new one.
Reflect,Progress & Learning,"To think carefully about what happened, what you learned, or what you might change",think back consider,2,medium,"After the project, I reflect on what worked well and what I would change."
Progress,Progress & Learning,Movement toward a goal or improvement over time,improvement growth,1,medium,I made progress in reading by practicing every day.
