# set_id,truong-vocab-set-31
# title,Truong Vocabulary Set 31
# description,Truong vocabulary practice words from set 31.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Solve,Mathematics,To find the answer to a problem,answer calculate,K,easy,We solve the riddle by reading each clue.
Trace,Instructional Language,To follow the edge or line of something with your finger pencil or eyes,follow outline,K,easy,Trace the dotted line with your pencil.
Outline,Reading & Writing,"The outer edge of a shape, or a plan that lists main ideas before writing",edge plan,1,medium,Trace the outline around the edge of the leaf.
Convince,Communication & Discussion,To help someone believe or agree with your idea,persuade influence,2,medium,The poster may convince people to recycle.
Valid,Thinking & Reasoning,"Reasonable, correct, or supported by the rules or evidence",sound acceptable,3,hard,A valid reason matches the facts in the passage.
Invalid,Thinking & Reasoning,"Not reasonable, correct, or supported by the rules or evidence",wrong unsupported,3,hard,The answer is invalid because it does not follow the rule.
Categorize,Instructional Language,To put things into groups based on what they have in common,classify sort,2,medium,Categorize the pictures into animal groups.
Protein,Health & Nutrition,"A nutrient your body uses to grow, build muscles, and repair tissues",nutrient food,2,medium,"Beans, eggs, and fish can provide protein."
Dairy,Health & Nutrition,"Foods made from animal milk, such as milk, cheese, and yogurt",milk foods,1,medium,"Milk, cheese, and yogurt are dairy foods."
Serving,Health & Nutrition,A measured amount of food or drink meant for one person or one eating occasion,portion amount,1,medium,The label says one serving is one cup of cereal.
Subject,Reading & Writing,"The person, place, thing, or idea that a sentence is mainly about",topic focus,2,medium,"In “The dog barked,” the dog is the subject."
