# set_id,truong-vocab-set-17
# title,Truong Vocabulary Set 17
# description,Truong vocabulary practice words from set 17.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Citizen,Thinking & Reasoning,A person who belongs to a country and has rights and responsibilities there,resident member,2,medium,A citizen can vote when they are old enough and help their community.
Community,Thinking & Reasoning,"A group of people who live, learn, work, or share something together",neighborhood group,1,medium,Our school community worked together to clean the playground.
Contribute,Communication & Discussion,To give or add something to help a group,donate add,2,medium,Each family will contribute food for the picnic.
Cooperation,Communication & Discussion,Working together to achieve something,teamwork collaboration,2,medium,Cooperation helped the group finish the mural.
Democracy,Thinking & Reasoning,"A form of government in which people have a say, often by voting for leaders",self-government republic,3,hard,"In a democracy, people can vote to choose leaders."
Election,Thinking & Reasoning,A process where people vote to choose leaders,vote ballot,2,medium,The election results were announced after lunch.
Equality,Thinking & Reasoning,"Having the same rights, chances, or treatment",fairness sameness,3,hard,Equality means everyone should have the same right to learn.
Fairness,Thinking & Reasoning,Treating people in a reasonable and just way,justice equity,1,medium,Fairness means following the same rules and listening to everyone.
Government,Thinking & Reasoning,"The system and people that make decisions and laws for a community, state, or country",leadership authority,2,medium,"Local government helps manage roads, parks, and other public services."
Justice,Thinking & Reasoning,"Fair treatment, including using laws to protect rights and respond to wrongdoing",fairness law,3,hard,The class discussed how rules can help create justice and fairness.
Law,Thinking & Reasoning,A rule made by a government that people must follow,rule regulation,1,easy,A law says drivers must stop at red lights.
Leadership,Progress & Learning,The ability to guide or influence others,guidance direction,2,medium,Leadership means guiding others with care.
Participate,Communication & Discussion,To take part in an activity,join take part,1,medium,I participate by joining the class discussion.
Represent,Communication & Discussion,To stand for something or to speak or act for someone else,stand for symbolize,3,hard,The stars on a map can represent state capitals.
Respect,Communication & Discussion,To show care and consideration for someone or something,honor admire,1,medium,We show respect by listening quietly.
Rights,Thinking & Reasoning,Freedoms and protections that people are entitled to have,freedoms privileges,3,hard,The right to be treated fairly is an important protection.
Service,Communication & Discussion,Work done to help others or a community,help assistance,2,medium,The food drive was a service to the community.
Volunteer,Communication & Discussion,To offer to help without being paid,help serve,2,medium,Liam will volunteer at the animal shelter.
