# set_id,truong-vocab-set-15
# title,Truong Vocabulary Set 15
# description,Truong vocabulary practice words from set 15.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Achieve,Progress & Learning,To successfully reach a goal,accomplish attain,2,medium,Sofia worked hard to achieve her dream.
Brilliant,Thinking & Reasoning,Very bright or extremely smart,bright intelligent,2,medium,The brilliant star shone in the dark sky.
Concentrate,Progress & Learning,To focus attention on one thing,focus pay attention,2,medium,I concentrate better in a quiet room.
Confident,Progress & Learning,Feeling sure of yourself and your abilities,sure self-assured,2,medium,The confident speaker looked at the audience.
Cooperate,Communication & Discussion,To work together with others toward the same goal,collaborate team up,K,medium,The partners cooperate to build the model together.
Courage,Progress & Learning,The strength to do something even when it is hard or scary,bravery valor,2,medium,It takes courage to try again after a fall.
Create,Progress & Learning,To make something new,make invent,K,easy,Artists create pictures with many kinds of lines.
Determine,Learning & Research,To find out or decide something after thinking,decide figure out,3,hard,We determine the winner by counting the votes.
Eager,Progress & Learning,Very excited and ready to do something,enthusiastic excited,1,medium,The eager puppy waited by the door.
Explore,Learning & Research,"To look around, investigate, or learn about something new",discover investigate,K,medium,We explore the garden to find insects and plants.
Generous,Communication & Discussion,Willing to give or share freely,giving kind,1,medium,A generous neighbor shared extra tomatoes.
Grateful,Communication & Discussion,Feeling thankful for something received,thankful appreciative,1,medium,I am grateful for my friend's help.
Inspire,Communication & Discussion,To fill someone with the desire to do something,motivate encourage,3,hard,A kind teacher can inspire students to keep trying.
Ordinary,Thinking & Reasoning,Common or usual; not unusual,common regular,2,medium,It seemed like an ordinary day until snow began to fall.
Responsibility,Progress & Learning,A duty or task you are expected to do,duty obligation,2,medium,Feeding the class fish is my responsibility.
Unique,Thinking & Reasoning,One of a kind unlike anything else,special distinct,2,medium,Each snowflake has a unique shape.
