# set_id,truong-vocab-set-32
# title,Truong Vocabulary Set 32
# description,Truong vocabulary practice words from set 32.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Add,Mathematics,To combine numbers to find a total,plus combine,K,easy,We add two apples to the basket.
Height,Mathematics,How tall something is,tallness measurement,1,medium,The height of the tower is ten blocks.
Width,Mathematics,How wide something is from side to side,wide measurement,1,medium,The width of the rug is six feet.
Length,Mathematics,How long something is from end to end,long measurement,1,medium,The length of the pencil is seven inches.
Weight,Mathematics,How heavy something is,heaviness measurement,1,medium,The weight of the bag made it hard to lift.
Duration,Mathematics,The amount of time that something lasts,amount of time,2,medium,The movie’s duration is one hour.
Substitute,Instructional Language,To use one thing or person in place of another,replace alternate,3,hard,We can substitute applesauce for oil in this recipe.
Alternate,Instructional Language,To switch back and forth between two things or take turns,take turns rotate,3,hard,The teams alternate turns during the game.
Rotate,Instructional Language,To turn around a center point or take turns in order,turn alternate,2,medium,Rotate the shape until it matches the picture.
Contradict,Thinking & Reasoning,To say or show the opposite of another statement so both cannot be true at the same time,oppose conflict,3,hard,His statement contradicts the information in the chart.
Suspicious,Thinking & Reasoning,"Causing you to think something may be wrong, unsafe, or untrue",doubtful wary,3,hard,"The suspicious email asked for a password, so we did not open its link."
