# set_id,truong-vocab-set-11
# title,Truong Vocabulary Set 11
# description,Truong vocabulary practice words from set 11.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Below,Directional Language,Lower than something else,under beneath,K,easy,The shoes are below the coat rack.
Clarify,Communication & Discussion,To make an idea or statement easier to understand,explain simplify,3,hard,Please clarify your answer by giving an example.
Describe,Learning & Research,To tell what something is like using details,explain portray,1,medium,"Describe the puppy by telling its color, size, and behavior."
Main Idea,Reading & Writing,The most important point a text is mostly about,central idea topic,2,medium,The main idea of the article is that recycling can reduce waste.
Persuade,Communication & Discussion,To try to convince someone to think or do something by giving reasons,convince influence,3,hard,The poster tries to persuade people to recycle.
Record,Instructional Language,To write down or save information,document note,1,easy,Record the temperature on the chart.
Relationship,Thinking & Reasoning,The way two or more things are connected,association connection,3,hard,The graph shows a relationship between sunlight and plant growth.
Research,Learning & Research,Careful work to gather information and learn about a question or topic,investigation study,3,hard,Our research helped us learn how sea turtles survive.
Structure,Scientific Thinking,The way the parts of something are arranged or put together,organization framework,3,hard,The bridge has a strong structure made of connected beams.
System,Scientific Thinking,A group of connected parts that work together,network organization,3,hard,The digestive system has organs that work together to process food.
Through,Directional Language,Going from one side to the other,across pass,1,medium,The train went through the tunnel.
