# set_id,truong-vocab-set-07
# title,Truong Vocabulary Set 7
# description,Truong vocabulary practice words from set 7.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Capital,Reading & Writing,"An uppercase letter, such as A, used at the beginning of certain words and sentences",uppercase letter,K,easy,The name Sofia begins with a capital S.
Cause,Thinking & Reasoning,Something that makes another thing happen,reason source,1,easy,The cause of the noise was a barking dog.
Conclude,Learning & Research,To decide what is most likely true after thinking about clues or evidence,determine decide,2,medium,"From the wet sidewalk, we conclude that it probably rained."
Conclusion,Reading & Writing,An ending or final idea that brings information together,ending summary,3,hard,The conclusion of the report explains what we learned.
Effect,Thinking & Reasoning,Something that happens because of a cause,result outcome,1,easy,One effect of the rain was a puddle on the sidewalk.
Indent,Reading & Writing,The space at the beginning of a paragraph,paragraph spacing,2,medium,Writers indent the first line of a paragraph.
Paragraph,Reading & Writing,A group of related sentences about one topic,section writing,2,medium,Each paragraph in the report has one main idea.
Reason,Thinking & Reasoning,An explanation for why something happened or why you think or do something,cause explanation,1,easy,My reason for wearing boots is that it is raining.
Sentence,Reading & Writing,A group of words that expresses a complete thought,statement expression,1,medium,A sentence begins with a capital letter.
Summarize,Communication & Discussion,To tell the most important ideas in a shorter way,condense recap,2,medium,Lina will summarize the chapter in two sentences.
Summary,Reading & Writing,A short version that tells the most important ideas,recap overview,2,medium,The summary tells the most important parts of the article.
