# set_id,truong-vocab-set-04
# title,Truong Vocabulary Set 4
# description,Truong vocabulary practice words from set 4.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Above,Directional Language,Higher than something else,over higher,K,easy,The clock hangs above the door.
Apply,Progress & Learning,"To use a rule, idea, or skill in a situation",use implement,3,hard,Jalen will apply the rule to a new problem.
Argument,Thinking & Reasoning,A claim or position supported by reasons and evidence,claim reasoning,4,hard,Her argument included a clear claim and three strong reasons.
Around,Directional Language,"On all sides of something, or moving in a path that goes around it",surround encircle,K,easy,We walked around the puddle to keep our shoes dry.
Challenge,Progress & Learning,Something difficult that takes effort to do or solve,difficulty obstacle,K,medium,Building the tall tower was a fun challenge.
Continue,Instructional Language,To keep going,proceed persist,K,easy,Please continue reading until the timer rings.
Interpret,Communication & Discussion,To figure out and explain the meaning of something,understand explain,3,hard,We interpret the graph by reading its labels and comparing the bars.
Pattern,Thinking & Reasoning,Something that repeats or follows a rule,sequence repetition,K,easy,"The beads make a red, blue, red, blue pattern."
Present,Communication & Discussion,To share information with an audience,show deliver,2,medium,Rosa will present her poster to the group.
Result,Learning & Research,"What happens because of an action, event, or process",outcome effect,1,easy,The result of watering the seed was a new sprout.
Skill,Progress & Learning,An ability learned through practice,ability talent,1,easy,Drawing maps is a skill that takes practice.
