# set_id,truong-vocab-set-02
# title,Truong Vocabulary Set 2
# description,Truong vocabulary practice words from set 2.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Adapt,Scientific Thinking,To change in order to survive or succeed,adjust evolve,3,hard,Cactus plants adapt to hot dry places.
Along,Directional Language,Beside something or following its length or direction,beside following,1,easy,We walked along the path beside the river.
Fossil,Scientific Thinking,Preserved remains or signs of a plant or animal that lived long ago,remains imprint,2,medium,The dinosaur footprint in the rock is a fossil.
Fraction,Mathematics,A number that represents part of a whole or part of a group,portion ratio,3,hard,One-half is a fraction that means one of two equal parts.
Function,Scientific Thinking,The job or purpose of something,purpose role,3,hard,A stem's function is to hold up the plant and move water.
Highlight,Instructional Language,To mark important information,emphasize mark,2,medium,I highlight the key details in yellow.
Multiply,Mathematics,To find the total in equal groups,times product,3,hard,We multiply three groups of four to get twelve.
Near,Directional Language,Close to something,close nearby,K,easy,The backpack is near the desk.
Practice,Progress & Learning,To do something again and again to get better at it,rehearse train,K,easy,Ava will practice reading the poem aloud each day.
Remember,Progress & Learning,To keep information in your mind,recall retain,K,easy,I remember the song because we sang it yesterday.
Sort,Instructional Language,To place things into groups,categorize classify,K,easy,The class will sort the buttons by color.
