# set_id,truong-vocab-set-13
# title,Truong Vocabulary Set 13
# description,Truong vocabulary practice words from set 13.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
After,Directional Language,Happening later than something else,next later,K,easy,We play outside after lunch.
Decimal,Mathematics,A number written using a decimal point,fraction value,4,hard,A decimal can show part of one whole.
Divide,Mathematics,To split into equal parts or groups,separate partition,3,hard,We divide the crackers into equal groups.
Effort,Progress & Learning,The work or energy you put into doing something,work attempt,1,medium,Your effort shows when you keep trying.
Environment,Scientific Thinking,The surroundings in which something lives,habitat surroundings,2,medium,A pond is an environment for frogs and insects.
Identify,Learning & Research,To recognize and name something,recognize determine,1,medium,Identify the animal shown in the picture.
Measurement,Scientific Thinking,The process of determining size amount or quantity,measure quantify,2,medium,Measurement tells us how long the table is.
Predict,Learning & Research,To say what you think will happen based on clues or what you know,forecast anticipate,K,easy,I predict the tower will fall if we add one more heavy block.
Reflect,Progress & Learning,"To think carefully about what happened, what you learned, or what you might change",consider review,2,medium,"After the project, I reflect on what worked well and what I would change."
Support,Communication & Discussion,To give reasons or evidence that strengthen an idea,justify defend,2,medium,Use one fact from the article to support your answer.
Theory,Scientific Thinking,A well-tested scientific explanation supported by a large amount of evidence,explanation model,5,hard,The theory of plate tectonics explains how Earth’s large plates move.
