# set_id,truong-vocab-set-24
# title,Truong Vocabulary Set 24
# description,Truong vocabulary practice words from set 24.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Before,Sequence Words,Happening earlier than something else,earlier prior,K,easy,Wash your hands before snack.
After,Sequence Words,Happening later than something else,later next,K,easy,We play outside after lunch.
During,Sequence Words,Happening while something else is happening,while through,1,easy,During story time we sit on the rug.
Until,Sequence Words,Up to a certain time,before then,1,easy,Wait until the light turns green.
Sequence,Sequence Words,The order that things happen,order pattern,1,medium,The pictures show the sequence of a butterfly growing.
Step,Sequence Words,One part of a process,part stage,K,easy,The first step is to write your name.
Routine,Sequence Words,Something you do the same way often,habit schedule,K,easy,Our morning routine starts with unpacking.
Predict,Learning & Research,To say what you think will happen based on clues or what you know,guess forecast,K,easy,I predict the tower will fall if we add one more heavy block.
Compare,Learning & Research,To look at two or more things to see how they are alike and different,match alike,K,easy,"We compare the two leaves by looking at their shape, size, and color."
Discover,Learning & Research,To find or learn something you did not know before,find learn,K,easy,We discover a ladybug hiding under the leaf.
