# set_id,truong-vocab-set-20
# title,Truong Vocabulary Set 20
# description,Truong vocabulary practice words from set 20.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Cooperate,Communication & Discussion,To work together with others toward the same goal,team up help,K,medium,The partners cooperate to build the model together.
Include,Communication & Discussion,To let someone join or be part of the group,invite welcome,K,easy,Please include Mia in the game.
Apologize,Communication & Discussion,To tell someone you are sorry for something you did,say sorry make amends,K,medium,I apologize when I hurt someone’s feelings.
Forgive,Communication & Discussion,To let go of anger toward someone who hurt or upset you,pardon let go,1,medium,Mia chose to forgive her friend after they talked about the mistake.
Interrupt,Communication & Discussion,To speak or act while someone else is talking or working,cut in disturb,1,medium,Please do not interrupt while I am speaking.
Encourage,Communication & Discussion,To help someone feel brave or ready to try,support cheer,1,medium,A smile can encourage someone to try again.
Compliment,Communication & Discussion,A kind statement that praises someone or something they did,praise kind words,1,medium,The teacher gave Maya a compliment about her careful work.
Request,Communication & Discussion,To ask politely for something,ask politely,1,medium,I can request help by raising my hand and asking politely.
Respectful,Communication & Discussion,Treating people in a kind and thoughtful way,kind considerate,1,medium,A respectful student listens to others.
Responsible,Progress & Learning,Doing what you are supposed to do,dependable trusted,1,medium,A responsible helper puts the toys away.
