# set_id,truong-vocab-set-22
# title,Truong Vocabulary Set 22
# description,Truong vocabulary practice words from set 22.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Discuss,Communication & Discussion,To talk about a topic with others,talk converse,K,easy,Friends discuss how to solve the problem.
Confused,Feelings & Emotions,Not understanding what is happening or what to do,puzzled unsure,K,medium,I felt confused when the rules changed.
Embarrassed,Feelings & Emotions,Feeling uncomfortable because people noticed something you did,awkward shy,1,medium,Ben felt embarrassed after spilling juice.
Jealous,Feelings & Emotions,Feeling upset because someone else has something you want,envious wanting,1,medium,I felt jealous of my sister's new bike.
Relieved,Feelings & Emotions,Feeling better after worry or trouble is over,comforted calm,1,medium,We felt relieved when the lost dog came home.
Content,Feelings & Emotions,Feeling peaceful and satisfied with how things are,satisfied peaceful,2,medium,The baby looked content after eating lunch and taking a nap.
Comfortable,Feelings & Emotions,Feeling okay in your body or feelings,relaxed at ease,K,medium,This chair is comfortable for reading.
Uncomfortable,Feelings & Emotions,Not feeling okay in your body or feelings,uneasy awkward,K,medium,Wet socks feel uncomfortable on my feet.
Safe,Feelings & Emotions,Protected from danger or harm,protected secure,K,easy,The classroom feels safe and friendly.
Unsafe,Feelings & Emotions,Not safe and possibly dangerous,dangerous risky,K,easy,An unsafe ladder should not be used.
Sensitive,Feelings & Emotions,"Easily affected by sounds, touch, feelings, or other things",delicate aware,2,medium,"Lena is sensitive to loud sounds, so she covers her ears."
