# set_id,truong-vocab-set-10
# title,Truong Vocabulary Set 10
# description,Truong vocabulary practice words from set 10.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Beside,Directional Language,Next to something,next to near,K,easy,The lamp is beside the couch.
Detail,Reading & Writing,A small piece of information about something,information fact,1,medium,One detail in the picture shows that the story happens in winter.
Elaborate,Communication & Discussion,To add details or explanation so an idea is clearer,expand explain,3,hard,Elaborate on your answer by adding one more detail.
Evaluate,Learning & Research,To judge how well something works or how strong an idea is using reasons or evidence,assess judge,3,hard,We evaluate each design to decide which one works best.
Evidence,Learning & Research,"Facts, observations, or clues that support an idea or help show what is true",proof support,2,medium,The muddy paw prints were evidence that an animal crossed the porch.
Investigate,Learning & Research,"To look closely, gather information, and try to find an answer",explore research,2,medium,We investigate the tracks to learn which animal made them.
List,Instructional Language,To write items one after another,enumerate record,1,easy,Mia made a list of materials for the project.
Master,Progress & Learning,To learn or practice something until you can do it very well,excel perfect,3,hard,It takes practice to master a new song on the piano.
Operation,Mathematics,"A math process such as addition, subtraction, multiplication, or division",procedure calculation,2,medium,Subtraction is one kind of math operation.
Progress,Progress & Learning,Movement toward a goal or improvement over time,improvement advancement,1,medium,I made progress in reading by practicing every day.
