# set_id,truong-vocab-set-09
# title,Truong Vocabulary Set 9
# description,Truong vocabulary practice words from set 9.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Control,Scientific Thinking,The part of an experiment kept under normal conditions so results can be compared,baseline standard,5,hard,The control plant received the normal amount of water.
Discover,Learning & Research,To find or learn something you did not know before,find uncover,K,easy,We discover a ladybug hiding under the leaf.
Edit,Instructional Language,To correct mistakes in writing,revise correct,2,medium,I edit my paragraph before I turn it in.
Experiment,Learning & Research,A test done to learn something,test investigation,2,medium,Our experiment tested which soil held more water.
Hypothesis,Learning & Research,A testable idea or prediction based on what you already know or observe,prediction theory,4,hard,Her hypothesis was that seeds with more sunlight would grow faster.
Improve,Progress & Learning,To get better or make something better,enhance develop,K,easy,My reading will improve when I practice every day.
Observation,Scientific Thinking,Information you notice or measure carefully,notice evidence,2,medium,Our observation was that the leaf had five points and a rough edge.
Observe,Learning & Research,To watch or examine carefully and notice details,notice examine,K,easy,We observe the caterpillar and notice how it moves.
Revise,Instructional Language,To improve a draft or other work by making changes,edit improve,3,hard,I revise my draft by adding details and fixing unclear parts.
Study,Learning & Research,To spend time learning about a subject,learn examine,1,medium,Noah likes to study maps of the world.
Toward,Directional Language,In the direction of something,to approaching,1,medium,The dog ran toward its owner.
