# set_id,truong-vocab-set-08
# title,Truong Vocabulary Set 8
# description,Truong vocabulary practice words from set 8.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Beginning,Sequence Words,The start of something,start opening,K,medium,At the beginning of the race everyone lined up.
Character,Reading & Writing,"A person, animal, or other figure in a story",figure role,1,medium,The main character in the story is a brave fox.
Earlier,Sequence Words,Happening before another time,before previously,1,medium,We ate lunch earlier than usual today.
Example,Thinking & Reasoning,Something that shows what an idea means,sample illustration,1,easy,This picture is an example of symmetry.
Fact,Thinking & Reasoning,A statement that can be checked and shown to be true,truth reality,1,medium,It is a fact that water freezes when it gets cold enough.
Finally,Sequence Words,At the end or conclusion,last conclude,1,easy,Finally the turtle reached the pond.
Opinion,Thinking & Reasoning,What someone thinks or feels; it cannot always be proven true or false,viewpoint belief,1,medium,My opinion is that mango is the tastiest fruit.
Plot,Reading & Writing,The important events in a story and the order in which they happen,storyline narrative,2,medium,The plot shows how the characters discover and solve the mystery.
Problem,Thinking & Reasoning,A difficulty that needs to be solved,issue challenge,1,easy,The broken bridge created a problem for the hikers.
Setting,Reading & Writing,The time and place where a story happens,location background,1,easy,The setting of the tale is a snowy village.
Solution,Thinking & Reasoning,An answer to a problem,answer resolution,1,easy,The solution was to share the crayons.
