# set_id,truong-vocab-set-26
# title,Truong Vocabulary Set 26
# description,Truong vocabulary practice words from set 26.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Accurate,Thinking & Reasoning,Correct and close to the exact facts or measurement,correct exact,2,medium,Her measurement was accurate because she lined the ruler up at zero.
Likely,Thinking & Reasoning,Probably going to happen,probable expected,1,medium,It is likely to rain when dark clouds gather.
Unlikely,Thinking & Reasoning,Probably not going to happen,not expected,1,medium,Snow is unlikely on a hot summer day.
Certain,Thinking & Reasoning,Known for sure,sure definite,2,medium,I am certain this is my lunchbox.
Appropriate,Thinking & Reasoning,Right or suitable for a particular situation,proper right,2,medium,Quiet voices are appropriate in the library.
Private,Communication & Discussion,Only for you or a small group,personal not shared,1,medium,A diary can be private.
Public,Communication & Discussion,For everyone or in front of others,shared open,1,medium,A park is public because everyone may use it.
Independent,Progress & Learning,Able to do something on your own without needing much help,on your own self-reliant,2,medium,An independent reader can choose a book and begin reading alone.
Persistent,Progress & Learning,Continuing to try even when something is difficult,determined steady,2,medium,A persistent builder keeps trying after the tower falls.
Flexible,Thinking & Reasoning,Able to change plans or try a different way when needed,adaptable bendable,2,medium,We were flexible and moved the picnic indoors when it rained.
