# set_id,truong-vocab-set-23
# title,Truong Vocabulary Set 23
# description,Truong vocabulary practice words from set 23.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Permission,Communication & Discussion,Being allowed to do something,allowed approval,K,medium,We need permission before leaving the room.
Signal,Communication & Discussion,A sound or action that tells someone something,sign clue,K,easy,The bell is a signal to line up.
Decide,Thinking & Reasoning,To choose after thinking,choose determine,K,easy,I decide which book to read first.
Prefer,Thinking & Reasoning,To like one choice more than another,like better choose,1,medium,I prefer apples to grapes.
Avoid,Thinking & Reasoning,To stay away from something,keep away prevent,1,medium,We avoid puddles in our new shoes.
Fair,Thinking & Reasoning,Treating people in a reasonable and just way,just equal,K,easy,A fair game follows the same rules for everyone.
Choice,Thinking & Reasoning,One thing you can pick,option selection,K,easy,My choice is the green marker.
Possible,Thinking & Reasoning,Able to happen or be done,can happen,1,medium,It is possible to finish before lunch.
Impossible,Thinking & Reasoning,Not able to happen or be done,cannot happen,1,medium,It is impossible to breathe underwater without special equipment.
Unsure,Thinking & Reasoning,Not certain or not knowing yet,uncertain not sure,K,medium,I am unsure which answer is correct.
